

===============TRANSPORTE.MODAL================
PERIODO	MODAL	LOCAL	LOCAL	QUANT	(%)OCUP
[1]	[M1]	[F1]	[C1]:	41	7%
[1]	[M1]	[F1]	[C1]:	19	3%
[1]	[M1]	[F1]	[C1]:	9	2%
[1]	[M1]	[F1]	[C1]:	27	5%
[1]	[M1]	[F1]	[C1]:	21	4%
[1]	[M1]	[F1]	[C1]:	37	6%
[1]	[M1]	[F1]	[C2]:	15	3%
[1]	[M1]	[F1]	[C2]:	5	1%
[1]	[M1]	[F1]	[C2]:	7	1%
[1]	[M1]	[F1]	[C2]:	8	1%
[1]	[M1]	[F1]	[C2]:	4	1%
[1]	[M1]	[F1]	[C2]:	11	2%
[1]	[M4]	[F1]	[C3]:	1	0%
[1]	[M4]	[F1]	[C3]:	3	0%
[1]	[M4]	[F1]	[C3]:	1	0%
[1]	[M4]	[F1]	[C3]:	1	0%
[1]	[M4]	[F1]	[C3]:	1	0%
[1]	[M4]	[F1]	[C3]:	1	0%
[2]	[M1]	[F1]	[C1]:	41	7%
[2]	[M1]	[F1]	[C1]:	19	3%
[2]	[M1]	[F1]	[C1]:	9	2%
[2]	[M1]	[F1]	[C1]:	27	5%
[2]	[M1]	[F1]	[C1]:	21	4%
[2]	[M1]	[F1]	[C1]:	37	6%
[2]	[M1]	[F1]	[C2]:	15	3%
[2]	[M1]	[F1]	[C2]:	5	1%
[2]	[M1]	[F1]	[C2]:	7	1%
[2]	[M1]	[F1]	[C2]:	8	1%
[2]	[M1]	[F1]	[C2]:	4	1%
[2]	[M1]	[F1]	[C2]:	11	2%
[2]	[M4]	[F1]	[C3]:	1	0%
[2]	[M4]	[F1]	[C3]:	3	0%
[2]	[M4]	[F1]	[C3]:	1	0%
[2]	[M4]	[F1]	[C3]:	1	0%
[2]	[M4]	[F1]	[C3]:	1	0%
[2]	[M4]	[F1]	[C3]:	1	0%
[3]	[M1]	[F1]	[C1]:	41	7%
[3]	[M1]	[F1]	[C1]:	19	3%
[3]	[M1]	[F1]	[C1]:	9	2%
[3]	[M1]	[F1]	[C1]:	27	5%
[3]	[M1]	[F1]	[C1]:	21	4%
[3]	[M1]	[F1]	[C1]:	37	6%
[3]	[M1]	[F1]	[C2]:	15	3%
[3]	[M1]	[F1]	[C2]:	5	1%
[3]	[M1]	[F1]	[C2]:	7	1%
[3]	[M1]	[F1]	[C2]:	8	1%
[3]	[M1]	[F1]	[C2]:	4	1%
[3]	[M1]	[F1]	[C2]:	11	2%
[3]	[M4]	[F1]	[C3]:	1	0%
[3]	[M4]	[F1]	[C3]:	3	0%
[3]	[M4]	[F1]	[C3]:	1	0%
[3]	[M4]	[F1]	[C3]:	1	0%
[3]	[M4]	[F1]	[C3]:	1	0%
[3]	[M4]	[F1]	[C3]:	1	0%
